"","lu_1998","lu_2019"
"870","Grassland","Wetland"
"871","Grassland","Wetland"
"872","Grassland","Wetland"
"873","Grassland","Wetland"
"874","Grassland","Wetland"
"875","Grassland","Wetland"
"876","Grassland","Wetland"
"877","Grassland","Wetland"
"878","Grassland","Wetland"
"879","Grassland","Wetland"
"880","Grassland","Wetland"
"881","Grassland","Wetland"
"882","Exposed soil / Urban","Palm"
"883","Exposed soil / Urban","Exposed soil / Urban"
"884","Exposed soil / Urban","Exposed soil / Urban"
"885","Exposed soil / Urban","Exposed soil / Urban"
"886","Exposed soil / Urban","Exposed soil / Urban"
"887","Exposed soil / Urban","Exposed soil / Urban"
"888","Exposed soil / Urban","Exposed soil / Urban"
"889","Exposed soil / Urban","Exposed soil / Urban"
"890","Exposed soil / Urban","Exposed soil / Urban"
"891","Exposed soil / Urban","Exposed soil / Urban"
"892","Exposed soil / Urban","Exposed soil / Urban"
"893","Exposed soil / Urban","Exposed soil / Urban"
"894","Exposed soil / Urban","Exposed soil / Urban"
"895","Exposed soil / Urban","Exposed soil / Urban"
"896","Exposed soil / Urban","Exposed soil / Urban"
"897","Exposed soil / Urban","Exposed soil / Urban"
"898","Exposed soil / Urban","Exposed soil / Urban"
"899","Exposed soil / Urban","Exposed soil / Urban"
"900","Exposed soil / Urban","Exposed soil / Urban"
"901","Exposed soil / Urban","Forest"
"902","Exposed soil / Urban","Forest"
"903","Exposed soil / Urban","Forest"
"904","Exposed soil / Urban","Forest"
"905","Exposed soil / Urban","Forest"
"906","Exposed soil / Urban","Forest"
"907","Exposed soil / Urban","Forest"
"908","Exposed soil / Urban","Forest"
"909","Exposed soil / Urban","Forest"
"910","Exposed soil / Urban","Forest"
"911","Forest","Palm"
"912","Forest","Palm"
"913","Forest","Palm"
"914","Forest","Palm"
"915","Forest","Palm"
"916","Forest","Palm"
"917","Forest","Palm"
"918","Forest","Palm"
"919","Forest","Palm"
"920","Forest","Palm"
"921","Forest","Palm"
"922","Forest","Palm"
"923","Forest","Palm"
"924","Forest","Palm"
"925","Forest","Palm"
"926","Forest","Palm"
"927","Forest","Palm"
"928","Forest","Palm"
"929","Forest","Palm"
"930","Forest","Palm"
"931","Forest","Palm"
"932","Forest","Palm"
"933","Forest","Palm"
"934","Forest","Palm"
"935","Forest","Palm"
"936","Forest","Palm"
"937","Forest","Mangrove"
"938","Forest","Water"
"939","Forest","Grassland"
"940","Forest","Grassland"
"941","Forest","Grassland"
"942","Forest","Grassland"
"943","Forest","Grassland"
"944","Forest","Grassland"
"945","Forest","Grassland"
"946","Forest","Grassland"
"947","Forest","Grassland"
"948","Forest","Grassland"
"949","Forest","Grassland"
"950","Forest","Grassland"
"951","Forest","Grassland"
"952","Forest","Grassland"
"953","Forest","Grassland"
"954","Forest","Grassland"
"955","Forest","Grassland"
"956","Forest","Grassland"
"957","Forest","Grassland"
"958","Forest","Grassland"
"959","Forest","Grassland"
"960","Forest","Grassland"
"961","Forest","Exposed soil / Urban"
"962","Forest","Exposed soil / Urban"
"963","Forest","Exposed soil / Urban"
"964","Forest","Exposed soil / Urban"
"965","Forest","Exposed soil / Urban"
"966","Forest","Exposed soil / Urban"
"967","Forest","Exposed soil / Urban"
"968","Forest","Exposed soil / Urban"
"969","Forest","Exposed soil / Urban"
"970","Forest","Exposed soil / Urban"
"971","Forest","Exposed soil / Urban"
"972","Forest","Exposed soil / Urban"
"973","Forest","Exposed soil / Urban"
"974","Forest","Exposed soil / Urban"
"975","Forest","Exposed soil / Urban"
"976","Forest","Exposed soil / Urban"
"977","Forest","Exposed soil / Urban"
"978","Forest","Exposed soil / Urban"
"979","Forest","Exposed soil / Urban"
"980","Forest","Exposed soil / Urban"
"981","Forest","Exposed soil / Urban"
"982","Forest","Exposed soil / Urban"
"983","Forest","Exposed soil / Urban"
"984","Forest","Exposed soil / Urban"
"985","Forest","Exposed soil / Urban"
"986","Forest","Exposed soil / Urban"
"987","Forest","Forest"
"988","Forest","Forest"
"989","Forest","Forest"
"990","Forest","Forest"
"991","Forest","Forest"
"992","Forest","Forest"
"993","Forest","Forest"
"994","Forest","Forest"
"995","Forest","Forest"
"996","Forest","Forest"
"997","Forest","Forest"
"998","Forest","Forest"
"999","Forest","Forest"
"1000","Forest","Forest"
